Slot_ID,Aisle,Bay,Level,Distance_From_Pack_Station
A1-G,A,1,Ground,0
A1-U,A,1,Upper,6
A2-G,A,2,Ground,3
A2-U,A,2,Upper,9
A3-G,A,3,Ground,6
A3-U,A,3,Upper,12
A4-G,A,4,Ground,9
A4-U,A,4,Upper,15
A5-G,A,5,Ground,12
A5-U,A,5,Upper,18
B1-G,B,1,Ground,12
B1-U,B,1,Upper,18
B2-G,B,2,Ground,15
B2-U,B,2,Upper,21
B3-G,B,3,Ground,18
B3-U,B,3,Upper,24
B4-G,B,4,Ground,21
B4-U,B,4,Upper,27
B5-G,B,5,Ground,24
B5-U,B,5,Upper,30
C1-G,C,1,Ground,24
C1-U,C,1,Upper,30
C2-G,C,2,Ground,27
C2-U,C,2,Upper,33
C3-G,C,3,Ground,30
C3-U,C,3,Upper,36
C4-G,C,4,Ground,33
C4-U,C,4,Upper,39
C5-G,C,5,Ground,36
C5-U,C,5,Upper,42
D1-G,D,1,Ground,36
D1-U,D,1,Upper,42
D2-G,D,2,Ground,39
D2-U,D,2,Upper,45
D3-G,D,3,Ground,42
D3-U,D,3,Upper,48
D4-G,D,4,Ground,45
D4-U,D,4,Upper,51
D5-G,D,5,Ground,48
D5-U,D,5,Upper,54
E1-G,E,1,Ground,48
E1-U,E,1,Upper,54
E2-G,E,2,Ground,51
E2-U,E,2,Upper,57
E3-G,E,3,Ground,54
E3-U,E,3,Upper,60
E4-G,E,4,Ground,57
E4-U,E,4,Upper,63
E5-G,E,5,Ground,60
E5-U,E,5,Upper,66
F1-G,F,1,Ground,60
F1-U,F,1,Upper,66
F2-G,F,2,Ground,63
F2-U,F,2,Upper,69
F3-G,F,3,Ground,66
F3-U,F,3,Upper,72
F4-G,F,4,Ground,69
F4-U,F,4,Upper,75
F5-G,F,5,Ground,72
F5-U,F,5,Upper,78
